Rate,SNR
0.75,1.7575094351311
0.751,1.76996301299043
0.752,1.78243042242744
0.753,1.79491183934113
0.754,1.80740744130725
0.755,1.8199174076059
0.756,1.83244191924958
0.757,1.84498115901194
0.758,1.85753531145698
0.759,1.87010456296877
0.76,1.88268910178191
0.761,1.89528911801247
0.762,1.90790480368956
0.763,1.92053635278755
0.764,1.93318396125894
0.765,1.9458478270678
0.766,1.95852815022406
0.767,1.9712251328183
0.768,1.98393897905734
0.769,1.99666989530064
0.77,2.00941809009723
0.771,2.02218377422362
0.772,2.03496716072235
0.773,2.04776846494144
0.774,2.0605879045746
0.775,2.0734256997023
0.776,2.08628207283372
0.777,2.09915724894959
0.778,2.11205145554594
0.779,2.12496492267874
0.78,2.13789788300962
0.781,2.15085057185245
0.782,2.16382322722099
0.783,2.1768160898776
0.784,2.18982940338299
0.785,2.20286341414709
0.786,2.21591837148095
0.787,2.22899452765002
0.788,2.24209213792835
0.789,2.25521146065424
0.79,2.26835275728696
0.791,2.28151629246494
0.792,2.29470233406513
0.793,2.30791115326384
0.794,2.3211430245989
0.795,2.3343982260333
0.796,2.34767703902037
0.797,2.36097974857033
0.798,2.3743066433186
0.799,2.38765801559559
0.8,2.40103416149819
0.801,2.41443538096296
0.802,2.42786197784119
0.803,2.44131425997554
0.804,2.4547925392788
0.805,2.46829713181438
0.806,2.48182835787893
0.807,2.49538654208682
0.808,2.50897201345693
0.809,2.52258510550141
0.81,2.53622615631681
0.811,2.54989550867745
0.812,2.56359351013114
0.813,2.57732051309734
0.814,2.59107687496795
0.815,2.60486295821052
0.816,2.61867913047425
0.817,2.6325257646988
0.818,2.64640323922577
0.819,2.66031193791334
0.82,2.67425225025377
0.821,2.68822457149416
0.822,2.70222930276036
0.823,2.71626685118431
0.824,2.73033763003474
0.825,2.74444205885149
0.826,2.75858056358355
0.827,2.77275357673084
0.828,2.78696153748998
0.829,2.80120489190408
0.83,2.81548409301682
0.831,2.82979960103084
0.832,2.84415188347058
0.833,2.85854141534992
0.834,2.8729686793445
0.835,2.88743416596913
0.836,2.90193837376032
0.837,2.91648180946424
0.838,2.93106498823007
0.839,2.94568843380928
0.84,2.96035267876073
0.841,2.97505826466201
0.842,2.98980574232716
0.843,3.00459567203097
0.844,3.01942862374025
0.845,3.03430517735218
0.846,3.04922592294006
0.847,3.06419146100676
0.848,3.07920240274615
0.849,3.09425937031278
0.85,3.10936299710025
0.851,3.12451392802837
0.852,3.13971281983974
0.853,3.15496034140596
0.854,3.17025717404376
0.855,3.18560401184173
0.856,3.2010015619978
0.857,3.21645054516805
0.858,3.23195169582726
0.859,3.2475057626417
0.86,3.2631135088547
0.861,3.27877571268543
0.862,3.29449316774157
0.863,3.31026668344639
0.864,3.3260970854808
0.865,3.34198521624114
0.866,3.35793193531336
0.867,3.37393811996412
0.868,3.39000466564984
0.869,3.4061324865443
0.87,3.42232251608564
0.871,3.43857570754378
0.872,3.45489303460882
0.873,3.47127549200195
0.874,3.48772409610926
0.875,3.50423988563999
0.876,3.52082392231026
0.877,3.53747729155318
0.878,3.55420110325708
0.879,3.57099649253279
0.88,3.58786462051159
0.881,3.60480667517528
0.882,3.62182387221989
0.883,3.63891745595475
0.884,3.65608870023874
0.885,3.67333890945535
0.886,3.69066941952896
0.887,3.70808159898386
0.888,3.72557685004885
0.889,3.74315660980929
0.89,3.76082235140933
0.891,3.77857558530709
0.892,3.79641786058526
0.893,3.81435076632058
0.894,3.83237593301502
0.895,3.85049503409225
0.896,3.86870978746316
0.897,3.88702195716388
0.898,3.905433355071
0.899,3.92394584269785
0.9,3.94256133307694
0.901,3.96128179273342
0.902,3.98010924375489
0.903,3.99904576596347
0.904,4.01809349919614
0.905,4.0372546457
0.906,4.05653147264965
0.907,4.07592631479392
0.908,4.09544157724073
0.909,4.11507973838796
0.91,4.13484335301072
0.911,4.15473505551441
0.912,4.17475756336475
0.913,4.1949136807067
0.914,4.21520630218475
0.915,4.2356384169783
0.916,4.25621311306717
0.917,4.27693358174292
0.918,4.29780312238371
0.919,4.31882514751117
0.92,4.3400031881499
0.921,4.36134089951172
0.922,4.3828420670286
0.923,4.40451061276069
0.924,4.42635060220777
0.925,4.44836625155542
0.926,4.4705619353897
0.927,4.49294219491758
0.928,4.51551174673371
0.929,4.53827549217796
0.93,4.56123852733253
0.931,4.58440615371225
0.932,4.60778388970711
0.933,4.63137748284151
0.934,4.65519292292231
0.935,4.67923645615417
0.936,4.70351460030998
0.937,4.72803416105267
0.938,4.75280224951622
0.939,4.77782630126472
0.94,4.80311409676216
0.941,4.82867378350129
0.942,4.85451389995608
0.943,4.88064340154318
0.944,4.90707168879911
0.945,4.93380863800581
0.946,4.96086463452661
0.947,4.9882506091473
0.948,5.01597807775627
0.949,5.04405918474127
0.95,5.07250675053184
0.951,5.10133432377507
0.952,5.13055623870215
0.953,5.16018767832185
0.954,5.19024474417184
